Date,Price,12-ema,26-ema,macd,signal,
2/14/2018,1.12780042,0.989727041,1.097883161,-0.10815612,-0.152291189,0.044135069
2/15/2018,1.11169158,1.008490816,1.098906007,-0.090415191,-0.139915989,0.049500798
2/16/2018,1.11504583,1.024883895,1.100101549,-0.075217654,-0.126976322,0.051758668
2/17/2018,1.17692789,1.048275279,1.105792389,-0.057517111,-0.11308448,0.055567369
2/18/2018,1.07465292,1.052333378,1.103485762,-0.051152385,-0.100698061,0.049545676
2/19/2018,1.11076096,1.061322236,1.104024666,-0.042702429,-0.089098935,0.046396505
2/20/2018,1.0271615,1.056066738,1.098331098,-0.042264359,-0.07973202,0.03746766
2/21/2018,0.95267756,1.040160711,1.087541947,-0.047381236,-0.073261863,0.025880627
2/22/2018,0.89371248,1.017630214,1.073184209,-0.055553995,-0.069720289,0.014166295
2/23/2018,0.94395959,1.006296272,1.063612015,-0.057315743,-0.06723938,0.009923637
2/24/2018,0.90258754,0.990341082,1.051684276,-0.061343193,-0.066060143,0.004716949
2/25/2018,0.90196689,0.976745053,1.040594099,-0.063849046,-0.065617923,0.001768877
2/26/2018,0.92869353,0.969352511,1.032305168,-0.062952657,-0.06508487,0.002132213
2/27/2018,0.93184274,0.963581777,1.024863507,-0.06128173,-0.064324242,0.003042512
2/28/2018,0.88600586,0.95164702,1.014577755,-0.062930735,-0.064045541,0.001114806
3/1/2018,0.91673211,0.946275496,1.007329929,-0.061054434,-0.063447319,0.002392885
3/2/2018,0.90060818,0.939249755,0.999424615,-0.06017486,-0.062792827,0.002617967
3/3/2018,0.89772511,0.932861348,0.991891318,-0.05902997,-0.062040256,0.003010286
3/4/2018,0.99905317,0.943044705,0.992421826,-0.04937712,-0.059507629,0.010130508
3/5/2018,0.94650578,0.943577178,0.989020637,-0.045443459,-0.056694795,0.011251336
3/6/2018,0.90614097,0.937817762,0.982881402,-0.045063641,-0.054368564,0.009304923
3/7/2018,0.85035149,0.924361412,0.973064372,-0.04870296,-0.053235443,0.004532483
3/8/2018,0.81067271,0.906870843,0.96103536,-0.054164517,-0.053421258,-0.000743259
